"gvkey","company_name","final_commitment_year","commitment_date_source","match_method"
"171007","ServiceNow Inc.",2021,"historical_committed","ISIN"
"17287","Sibanye-Stillwater",2018,"inferred_from_targets_set","ISIN"
"17420","Atlas Copco AB",2020,"inferred_from_targets_set","ISIN"
"17452","Danone",2016,"historical_committed","ISIN"
"174637","ICF",2020,"inferred_from_targets_set","ISIN"
"17525","Origin Energy",2016,"historical_committed","ISIN"
"17703","CASIO COMPUTER CO., LTD.",2019,"historical_committed","ISIN"
"178015","lululemon",2019,"historical_committed","ISIN"
"17827","Dai Nippon Printing Co., Ltd.",2017,"historical_committed","ISIN"
"17830","Daiwa House Industry Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"17874","T-Mobile USA, Inc.",2018,"inferred_from_targets_set","ISIN"
"179534","Visa Inc.",2021,"historical_committed","ISIN"
"179621","Philip Morris International",2015,"historical_committed","ISIN"
"18043","News Corp",2019,"inferred_from_targets_set","ISIN"
"180483","Berry Global Group, Inc.",2019,"historical_committed","ISIN"
"183366","Hyatt",2020,"inferred_from_targets_set","ISIN"
"18383","Brixmor Property Group",2020,"inferred_from_targets_set","ISIN"
"18467","Fujitsu Limited",2016,"inferred_from_targets_set","ISIN"
"18636","Diageo Plc",2015,"historical_committed","ISIN"
"18715","KAO Corporation",2015,"historical_committed","ISIN"
"18729","Kirin Holdings Co Ltd",2016,"inferred_from_targets_set","ISIN"
"18754","Kumagai Gumi Co., Ltd.",2020,"inferred_from_targets_set","ISIN"
"1878","Autodesk, Inc.",2015,"historical_committed","ISIN"
"18860","Marks & Spencer",2015,"historical_committed","ISIN"
"19043","Mitsubishi Electric Corporation",2019,"historical_committed","ISIN"
"19083","New World Development Company Limited",2021,"historical_committed","ISIN"
"19113","Nissan Motor Co., Ltd.",2015,"historical_committed","ISIN"
"1913","Avery Dennison Corporation",2016,"historical_committed","ISIN"
"19157","OMRON Corporation",2019,"historical_committed","ISIN"
"1932","British American Tobacco (BAT)",2021,"historical_committed","ISIN"
"19344","Shiseido Company Limited",2021,"historical_committed","ISIN"
"19349","Siemens AG",2015,"historical_committed","ISIN"
"19413","Sumitomo Electric Industries, Ltd.",2020,"historical_committed","ISIN"
"19579","J Sainsbury plc",2020,"historical_committed","ISIN"
"19646","Tokyu Fudosan Holdings Corporation",2020,"historical_committed","ISIN"
"19656","TOTO LTD.",2020,"inferred_from_targets_set","ISIN"
"19741","SECOM Co., Ltd.",2020,"inferred_from_targets_set","ISIN"
"1988","Ball Corporation",2019,"historical_committed","ISIN"
"200218","ARÇELİK A.Ş.",2019,"historical_committed","ISIN"
"200295","ACC Limited",2020,"historical_committed","ISIN"
"200363","Atos SE",2016,"historical_committed","ISIN"
"200384","Proximus",2015,"historical_committed","ISIN"
"200421","LOTTE CO., LTD.",2021,"inferred_from_targets_set","exact_name"
"200448","Mahindra & Mahindra Limited",2019,"historical_committed","ISIN"
"200606","A.G. Barr plc",2021,"inferred_from_targets_set","ISIN"
"20067","InterContinental Hotels Group PLC",2019,"historical_committed","ISIN"
"200752","Grupo Bimbo SAB de CV",2020,"inferred_from_targets_set","ISIN"
"201066","Cathay Financial Holding Co., Ltd",2021,"inferred_from_targets_set","ISIN"
"201323","Cranswick plc",2020,"historical_committed","ISIN"
"20145","Furukawa Electric Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"201543","Daito Trust Construction Co., Ltd.",2018,"historical_committed","ISIN"
"201584","KDDI Corporation",2017,"historical_committed","ISIN"
"201794","Enel SpA",2016,"inferred_from_targets_set","ISIN"
"202086","GETLINK",2020,"inferred_from_targets_set","ISIN"
"202334","FUJI OIL HOLDINGS INC.",2019,"historical_committed","ISIN"
"202952","Klabin S.A.",2019,"historical_committed","ISIN"
"203053","Hermès International",2021,"historical_committed","ISIN"
"20315","Cogeco Inc.",2020,"inferred_from_targets_set","ISIN"
